BA2124B,Office,43.659958,-79.397094,43.659936,-79.397019,43.659964,-79.397102,Bahen,2,Division of Engineering Science Main Office.\nMonday-Friday 9a.m-4:30p.m
BA2115,Office,43.659938,-79.397167,43.659926,-79.397079,43.659951,-79.397146,Bahen,2,Division of Engineering Science Main Office.\nMonday-Friday 9a.m-4:30p.m
BA2124,StudyArea,43.6599,-79.397206,43.659883,-79.396902,43.659895,-79.397221,Bahen,2,Engineering Science Student Lounge
BA2128,Lab,43.659853,-79.397059,43.65978,-79.396858,43.659748,-79.39706,Bahen,2,Division of Engineering Science
BA2135,TutorialRoom,43.659823,-79.397396,43.659717,-79.397189,43.659742,-79.397183,Bahen,2,No description available
BA2145,TutorialRoom,43.659802,-79.397505,43.659723,-79.397354,43.659652,-79.397419,Bahen,2,No description available
BA2139,TutorialRoom,43.659705,-79.39743,43.65969,-79.397248,43.659692,-79.397228,Bahen,2,No description available
BA2155,TutorialRoom,43.659781,-79.397611,43.659665,-79.397442,43.659646,-79.397448,Bahen,2,No description available
BA2159,TutorialRoom,43.659665,-79.397649,43.65965,-79.397468,43.659646,-79.397448,Bahen,2,No description available
BA2165,TutorialRoom,43.659759,-79.397721,43.659681,-79.397569,43.65961,-79.397642,Bahen,2,No description available
BA2175,TutorialRoom,43.659738,-79.39783,43.659627,-79.397664,43.659612,-79.397671,Bahen,2,No description available
BA2185,TutorialRoom,43.65972,-79.397942,43.659645,-79.397789,43.659575,-79.397862,Bahen,2,No description available
BA2195,TutorialRoom,43.659698,-79.398055,43.659584,-79.39788,43.65957,-79.397887,Bahen,2,No description available
BA2197,MeetingRoom,43.659601,-79.39801,43.659578,-79.397908,43.659568,-79.397922,Bahen,2,Seminar Room
BA2179,MeetingRoom,43.659627,-79.397871,43.659594,-79.397765,43.659578,-79.397866,Bahen,2,Seminar Room
BA2220,Lab,43.659449,-79.397938,43.659359,-79.39778,43.659342,-79.397786,Bahen,2,CDF Computer Science Lab
BA2210,Lab,43.659471,-79.397829,43.659371,-79.397666,43.659381,-79.397654,Bahen,2,CDF Computer Science Lab
BA2200,Lab,43.659467,-79.397678,43.659393,-79.397558,43.659458,-79.397687,Bahen,2,CDF Computer Science Lab
BA2285,Office,43.659483,-79.397596,43.659451,-79.397517,43.659492,-79.397516,Bahen,2,Computer Science Student Union Office
BA2283,Office,43.659438,-79.397579,43.659402,-79.397494,43.659436,-79.397486,Bahen,2,Computer Science Student Union Office
BA2230,StudyArea,43.659316,-79.397877,43.659257,-79.397733,43.659337,-79.397782,Bahen,2,Computer Science Study Area
BA2240,Lab,43.659328,-79.397763,43.659277,-79.397623,43.659354,-79.397672,Bahen,2,CDF Computer Science Lab
BA2250,StudyArea,43.659333,-79.397451,43.659288,-79.397309,43.659354,-79.397441,Bahen,2,Computer Science Undergrad Lounge
BA2270,Lab,43.659469,-79.397409,43.659348,-79.397243,43.659453,-79.397439,Bahen,2,CDF Computer Science Lab
BA2130-50C,Corridor,0,0,0,0,43.659708,-79.39717,Bahen,2,No description available
BA2150-90C,Corridor,0,0,0,0,43.659613,-79.39757,Bahen,2,No description available
BA2200-05C,Corridor,0,0,0,0,43.65948,-79.397693,Bahen,2,No description available
BA2205-20C,Corridor,0,0,0,0,43.659361,-79.397648,Bahen,2,No description available
BA2280-20C,Corridor,0,0,0,0,43.659394,-79.397465,Bahen,2,No description available
BA2200-90C,Corridor,0,0,0,0,43.659519,-79.397531,Bahen,2,No description available
BA2100-10C,Corridor,0,0,0,0,43.65993,-79.397261,Bahen,2,No description available
BA2280-70C,Corridor,0,0,0,0,43.659445,-79.397487,Bahen,2,No description available
BA2103,WashroomFemale,43.659821,-79.397197,43.659809,-79.397092,43.659787,-79.397199,Bahen,2,No description available
BA2101,WashroomMale,43.659789,-79.39718,43.659778,-79.397077,43.659787,-79.397199,Bahen,2,No description available
BA2286,WashroomMale,43.659532,-79.397503,43.659519,-79.397411,43.659498,-79.397514,Bahen,2,No description available
BA2284,WashroomFemale,43.659503,-79.39749,43.659475,-79.397389,43.659498,-79.397514,Bahen,2,No description available
BA2000S,Stairs,0,0,0,0,43.660136,-79.397251,Bahen,2,No description available
BA2020S,Stairs,0,0,0,0,43.660127,-79.397367,Bahen,2,No description available
BA2109S,Stairs,0,0,0,0,43.659906,-79.397282,Bahen,2,No description available
